Protein	H5LungInf3d-H5LungPBS4d_log2FC	H5LungInf3d-H5LungPBS4d_adj.pvalue	H5LungInf4d-H5LungPBS4d_log2FC	H5LungInf4d-H5LungPBS4d_adj.pvalue
183.0/9.6	-0.132785267355762	0.99997651208131	1.11749904770077	0.638206233596755
183.1/0.1	0.267422530962032	0.99997651208131	0.169556287733101	0.793330489448654
183.1/9.6	-0.0214207717863384	0.99997651208131	-0.968669242208895	0.279664273736772
184.1/10.2	-0.17525092358203	0.99997651208131	0.785604822695776	0.0252214882954402
184.1/20.7	-0.684487434595092	0.99997651208131	0.272141613242555	0.780071245963266
185.1/5.0	0.741691126005534	0.933726963424378	-0.248910099097972	0.788863028923233
185.1/8.5	0.740930348620403	0.975876644693115	-1.28613807570605	0.0733833038727433
185.1/8.9	-0.097793188662759	0.99997651208131	-0.566269637722282	0.690949693006477
185.1/9.6	0.140161299591214	0.99997651208131	-0.743703488482554	0.415432346832029
185.9/10.4				
185.9/9.8	0.40361328607867	0.99997651208131	0.694305566195898	0.740615728539967
186.1/4.5	-0.311770601492352	0.99997651208131	3.83392990992113	9.1608230936101e-05
186.1/9.8	0.111332349749628	0.99997651208131	-0.311666797230356	0.567682246602462
187.0/4.9	3.03008823282847	0.99997651208131	0.438845519850141	0.938017177047543
187.0/8.4	-0.278785204260151	0.99997651208131	0.476321930606902	0.831733935332976
187.0/8.7	-0.00483730273400551	0.99997651208131	0.397478545606312	0.791601748364826
187.1/20.9	-0.116010639198505	0.99997651208131	-0.2935270678588	0.735909373360522
187.1/9.4	-0.0159369045657967	0.99997651208131	-0.827268878148174	0.407306702569482
187.6/20.7	-0.0862489842898267	0.99997651208131	-0.40493065061584	0.657383323275362
187.6/21.0	-0.180849987839579	0.99997651208131	-0.393964007879393	0.67198673897283
188.0/9.5	-0.102596394948011	0.99997651208131	-0.878972654066371	0.203210628566469
188.1/1.2	-0.104138147858965	0.99997651208131	-0.154466119587627	0.801781181269477
188.1/20.8	-0.141664123108475	0.99997651208131	-0.26525776700213	0.766333301112145
188.1/5.1	-0.59301356685601	0.99997651208131	-0.535922792475259	0.633175580715865
188.1/6.4	-0.44309310109257	0.99997651208131	-0.139839381795345	0.915779508765073
188.1/9.6	0.0509453180215749	0.99997651208131	-0.652944216847551	0.400852998852895
188.9/9.0	-0.169113793168804	0.99997651208131	0.785064421379801	0.759292164918218
189.0/9.6	-0.296182530879719	0.99997651208131	0.322476658311701	0.814349301265949
189.1/20.8	-0.318763993205341	0.99997651208131	-0.269953965820902	0.75125904281217
189.1/9.4	0.356972049687698	0.99997651208131	-0.28310531624013	0.583281506767047
190.1/3.5	0.257908602484194	0.99997651208131	0.50918780337725	0.400852998852895
190.1/3.6	-0.134671313708644	0.99997651208131	0.641819628595635	0.56758594599049
190.2/10.9	-0.443728581929608	0.703829579319886	0.233776219021968	0.604855432474459
190.2/11.8	-0.363279921758784	0.819139993715897	0.116119451144069	0.778200556749416
190.2/12.6	-0.0970797032478785	0.99997651208131	0.029417807096257	0.987339298047419
190.2/20.9	0.0482484189298038	0.99997651208131	0.175067717396154	0.832331466038366
190.2/9.3	0.022257103980747	0.99997651208131	-0.809583143823965	0.203210628566469
190.9/9.1	0.78705677989049	0.99997651208131	0.0158494501494113	0.999175428844733
191.0/10.1	0.374508380812473	0.99997651208131	-0.111302858701031	0.875402282153013
191.0/21.0	-0.0805270045221046	0.99997651208131	-0.258254329101289	0.765394503318132
191.0/5.4	-0.0921582795415667	0.99997651208131	-0.494150467351581	0.58779448028179
191.1/3.5	-0.556811166226096	0.901183781812973	-0.714938832212345	0.221519427265483
191.5/3.1	0.178757483165709	0.99997651208131	0.787745049032977	0.396253229508469
191.9/20.1	0.400365169858061	0.99997651208131	-0.664857609655421	0.42833937604471
192.0/9.0	0.443578590098779	0.99997651208131	1.40644979305246	0.361732477687101
192.1/0.4	0.100039466610627	0.99997651208131	-0.144853268117998	0.801724012088053
192.1/20.9	-0.0860919653320039	0.99997651208131	-0.289522761282277	0.72777814484874
192.1/3.0	0.0808151561541697	0.99997651208131	0.829763470924545	0.415432346832029
192.1/4.9	-0.612147554389956	0.99997651208131	-0.297537485306627	0.780953893568159
192.1/6.2	-0.394542775688567	0.99997651208131	1.0434686901678	0.0375129380807544
192.6/20.8	-0.234362200856977	0.99997651208131	-0.329956677949243	0.743698376912885
194.0/9.6	0.662003946468613	0.99997651208131	2.25106875711651	0.35921239095371
194.1/3.0	0.0517801302913171	0.99997651208131	0.716620099590644	0.452002260700209
195.0/10.2	0.158834198134364	0.99997651208131	0.675432578853689	0.704581442562911
195.1/3.7	-0.674460127319468	0.99997651208131	0.351467130045212	0.748993643515528
195.1/5.3	-0.167407891855166	0.99997651208131	0.319639034448026	0.486561723020631
